1H16_A/PFL1,1R9E_A/PFL2_DhaB_BssA,1HK8_A/RNR_III,1L1L_A/RNR_II_MONOMER,4R1R_A/RNR_1,1XJE_A/RNR_II_Dimer,2HA9_A/RNR_PFL_like_DUF711,20808264/RNR_III,38199336/RNR_III,29897259/RNR_III,46578715/RNR_III,34395948/RNR_III,16799382/RNR_III,17549184/RNR_III,50843575/RNR_III,15597116/RNR_III,42526839/RNR_III,34103723/RNR_III,45047350/RNR_III,31745026/RNR_III,18309899/RNR_III,23466296/RNR_III,19703656/RNR_III,18311489/RNR_III,15679535/RNR_III,25028919/RNR_III,19913820/RNR_III,19887396/RNR_III,14589982/RNR_III,41615134/RNR_III,26553948/RNR_III,32034522/RNR_III,56459299/RNR_III,15643151/RNR_III,122202257/RNR_II_MONOMER,46445745/RNR_II_MONOMER,182676582/RNR_II_MONOMER,66801255/RNR_II_MONOMER,22298870/RNR_II_MONOMER,2F3O_A/PFL2_DhaB_BssA,28379125/PFL2_DhaB_BssA,418519/PFL2_DhaB_BssA,3024375/PFL2_DhaB_BssA,22536514/PFL2_DhaB_BssA,28203085/PFL2_DhaB_BssA,23954275/PFL2_DhaB_BssA,28211126/PFL2_DhaB_BssA,26250357/PFL2_DhaB_BssA,57158548/PFL2_DhaB_BssA,51244468/PFL2_DhaB_BssA,39984089/PFL2_DhaB_BssA,46580677/PFL2_DhaB_BssA,28300939/PFL2_DhaB_BssA,50877916/PFL2_DhaB_BssA,56476471/PFL2_DhaB_BssA,51850061/PFL2_DhaB_BssA,2500058/PFL1,3122593/PFL1,4218500/PFL1,6580769/PFL1,22298533/PFL1,28379671/PFL1,29350146/PFL1,29376172/PFL1,23465524/PFL1,16801097/PFL1,47525779/PFL1,19713713/PFL1,1PEQ_A/RNR_1,4R1R_C/RNR_1,2WGH_A/RNR_1,1ZYZ_A/RNR_1,417657/RNR_1,1350599/RNR_1,1350600/RNR_1,1710384/RNR_1,1710391/RNR_1,3914639/RNR_1,3914655/RNR_1,3914656/RNR_1,6093975/RNR_1,6225952/RNR_1,7388069/RNR_1,10957414/RNR_1,12644286/RNR_1,13882932/RNR_1,15290502/RNR_1,15604373/RNR_1,15674554/RNR_1,15677158/RNR_1,15791174/RNR_1,18266787/RNR_1,18311343/RNR_1,19074701/RNR_1,19703450/RNR_1,21223594/RNR_1,21910585/RNR_1,23100544/RNR_1,28198392/RNR_1,28493650/RNR_1,29654844/RNR_1,30019504/RNR_1,30316299/RNR_1,30793895/RNR_1,33236863/RNR_1,33598410/RNR_1,39938540/RNR_1,46100377/RNR_1,46255233/RNR_1,46446982/RNR_1,49256098/RNR_1,51891460/RNR_1,52000447/RNR_1,53728875/RNR_1,56707667/RNR_1,57014144/RNR_1,66810005/RNR_1,71895081/RNR_1,72163400/RNR_1,2648891/RNR_II_Dimer,57234895/RNR_II_Dimer,16082440/RNR_II_Dimer,51893898/RNR_II_Dimer,2621734/RNR_II_Dimer,15897814/RNR_II_Dimer,20090518/RNR_II_Dimer,42557734/RNR_II_Dimer,51246679/RNR_II_Dimer,15839968/RNR_II_Dimer,34102757/RNR_II_Dimer,20808702/RNR_II_Dimer,14590272/RNR_II_Dimer,42522732/RNR_II_Dimer,74055571/RNR_II_Dimer,81568276/RNR_II_Dimer,53803344/RNR_II_Dimer,15790595/RNR_II_Dimer,18313863/RNR_II_Dimer,21673413/RNR_II_Dimer,81737311/RNR_II_Dimer,21224150/RNR_II_Dimer,10175431/RNR_II_Dimer,32477697/RNR_II_Dimer,73748165/RNR_II_Dimer,47458851/RNR_II_Dimer,28210310/RNR_II_Dimer,17544914/RNR_II_Dimer,34397173/RNR_II_Dimer,53723300/RNR_II_Dimer,157165627/RNR_PFL_like_DUF712,18310479/RNR_PFL_like_DUF713,253581564/RNR_PFL_like_DUF714,150385022/RNR_PFL_like_DUF715,53728820/RNR_PFL_like_DUF716,254669585/RNR_PFL_like_DUF717,20090543/RNR_PFL_like_DUF718,23396954/RNR_PFL_like_DUF719,20094650/RNR_PFL_like_DUF720,154501151/RNR_PFL_like_DUF721,237732939/RNR_PFL_like_DUF722,15669861/RNR_PFL_like_DUF723,170290665/RNR_PFL_like_DUF724,18314171/RNR_PFL_like_DUF725,146303128/RNR_PFL_like_DUF726,15920428/RNR_PFL_like_DUF727,229536413/RNR_PFL_like_DUF728
1170,1150,948,1140,1070,1130,1210,519,556,933,508,926,910,530,929,506,453,939,783,943,0,956,927,915,780,962,834,842,813,791,939,977,941,934,1230,1240,1140,1220,1260,1120,1080,1110,1130,1100,1130,1130,1160,1160,1070,1080,1100,1200,1150,1160,1230,1220,1150,1140,1130,1150,1170,1180,1140,1170,1190,1140,1130,1170,1120,1070,1160,1140,1150,1130,1140,1120,1140,1120,1130,1170,1130,1090,1120,1170,1150,1130,1120,1170,1120,1100,1140,1130,1120,1120,1100,1150,1120,1150,1140,1130,1160,1110,1160,1140,1090,1140,1120,1140,1130,1150,1170,1110,1140,1150,1130,1110,1150,1160,1150,1120,1120,1120,1130,1120,1120,1140,1160,1150,1130,1140,1150,1150,1210,1160,1200,1150,1140,1140,1170,1220,1180,1170,1230,1150,1170,1170,1120,1120,1190,1200,1190,1170,1190,1180,1170,1200,1210,1220,1190,1190,1180,1230,1260,1260,1260,1260
1120,1190,500,1190,1140,1120,1260,903,932,836,929,447,341,937,783,922,929,514,885,853,956,0,643,732,850,622,995,915,1050,1040,788,1090,1090,1080,1200,1220,1180,1180,1180,1140,1150,1150,1180,1170,1210,1120,1130,1170,1130,1130,1130,1180,1120,1170,1190,1190,1140,1110,1110,1120,1130,1130,1110,1130,1160,1110,1120,1120,1130,1140,1180,1130,1150,1150,1120,1100,1150,1140,1140,1180,1150,1190,1180,1120,1160,1150,1170,1190,1130,1170,1150,1150,1190,1140,1110,1160,1110,1160,1130,1130,1180,1100,1160,1170,1170,1180,1110,1140,1190,1160,1180,1160,1140,1180,1110,1100,1170,1180,1180,1120,1130,1130,1150,1120,1170,1140,1120,1170,1110,1100,1080,1170,1140,1120,1180,1110,1070,1170,1150,1170,1120,1110,1190,1150,1110,1170,1140,1110,1130,1260,1250,1240,1250,1240,1250,1260,1250,1250,1260,1240,1270,1250,1270,1230,1270,1240
1160,1160,626,1180,1150,1140,1250,925,945,784,936,625,580,916,750,920,918,608,890,794,927,643,0,748,874,669,940,938,1010,1030,725,1050,1030,1030,1210,1190,1150,1230,1200,1070,1120,1080,1160,1110,1170,1120,1150,1160,1070,1090,1120,1160,1100,1150,1190,1170,1130,1130,1130,1150,1140,1130,1140,1130,1170,1130,1110,1130,1100,1150,1140,1120,1140,1110,1120,1120,1130,1140,1130,1140,1140,1150,1140,1150,1130,1120,1180,1180,1130,1160,1140,1130,1170,1130,1070,1140,1100,1130,1140,1120,1170,1120,1140,1130,1170,1170,1130,1110,1150,1140,1150,1150,1140,1170,1150,1130,1140,1140,1170,1090,1100,1120,1130,1110,1120,1170,1150,1140,1140,1120,1060,1130,1170,1130,1190,1110,1160,1150,1150,1200,1130,1120,1190,1120,1100,1180,1120,1170,1160,1260,1230,1240,1250,1230,1240,1250,1240,1210,1260,1250,1230,1220,1270,1230,1250,1230
1090,1140,724,1130,1090,1110,1270,900,961,627,891,671,736,947,569,935,924,755,763,671,915,732,748,0,794,770,930,821,995,972,827,1070,1020,1020,1200,1190,1170,1220,1200,1110,1130,1130,1140,1140,1180,1140,1180,1140,1060,1080,1100,1190,1130,1140,1220,1230,1120,1100,1120,1090,1120,1100,1080,1110,1140,1100,1110,1110,1150,1090,1160,1130,1150,1130,1100,1100,1130,1130,1150,1160,1160,1140,1170,1150,1130,1140,1150,1180,1160,1130,1160,1120,1180,1140,1120,1110,1110,1170,1150,1130,1180,1120,1150,1150,1160,1190,1130,1130,1170,1130,1160,1180,1130,1190,1160,1090,1150,1160,1160,1070,1090,1070,1110,1120,1100,1100,1100,1110,1080,1080,1060,1120,1160,1090,1180,1070,1110,1130,1170,1170,1110,1120,1180,1090,1100,1130,1080,1130,1140,1270,1260,1260,1260,1250,1240,1260,1260,1260,1270,1250,1270,1250,1290,1240,1260,1260
1090,1160,841,1140,1120,1150,1260,693,755,841,764,844,843,760,789,761,731,850,472,870,780,850,874,794,0,837,672,618,795,780,879,1060,1070,966,1250,1230,1160,1240,1170,1120,1130,1120,1150,1160,1160,1160,1180,1160,1060,1100,1100,1150,1110,1130,1200,1220,1090,1100,1100,1110,1120,1110,1080,1090,1140,1090,1100,1100,1140,1120,1140,1130,1170,1130,1150,1100,1170,1150,1140,1160,1100,1110,1140,1170,1140,1150,1080,1140,1140,1150,1140,1150,1100,1140,1110,1140,1110,1110,1090,1130,1150,1130,1150,1160,1140,1170,1120,1160,1130,1160,1160,1100,1140,1150,1110,1110,1140,1150,1140,1120,1130,1130,1140,1120,1150,1130,1140,1150,1120,1110,1130,1180,1210,1130,1200,1140,1130,1160,1180,1210,1160,1130,1220,1110,1140,1220,1110,1110,1180,1260,1250,1250,1250,1250,1250,1270,1260,1250,1270,1260,1240,1240,1270,1230,1220,1290
1080,1130,555,1130,1130,1090,1240,915,904,798,901,559,604,924,772,891,912,549,892,822,962,622,669,770,837,0,972,942,1060,1070,758,1100,1070,1050,1240,1160,1190,1250,1190,1100,1130,1100,1150,1140,1160,1110,1130,1140,1090,1060,1070,1150,1090,1170,1130,1140,1090,1050,1090,1100,1090,1060,1080,1080,1100,1050,1090,1090,1090,1130,1110,1090,1100,1110,1080,1100,1100,1090,1130,1140,1120,1100,1130,1120,1090,1120,1110,1110,1100,1110,1100,1100,1120,1110,1080,1090,1080,1090,1090,1080,1140,1060,1090,1110,1120,1160,1110,1110,1120,1090,1120,1080,1080,1130,1120,1080,1100,1120,1130,1070,1080,1090,1110,1080,1080,1100,1110,1090,1090,1040,1050,1120,1140,1060,1150,1060,1110,1080,1120,1140,1080,1080,1150,1070,1070,1130,1100,1100,1120,1250,1250,1250,1230,1230,1230,1240,1230,1200,1240,1250,1250,1230,1260,1230,1250,1220
1120,1170,926,1140,1130,1100,1230,776,826,957,800,972,961,753,927,798,750,952,674,965,834,995,940,930,672,972,0,748,902,890,1060,1110,1060,1010,1180,1210,1140,1200,1240,1170,1140,1160,1150,1160,1160,1150,1160,1160,1110,1100,1130,1190,1140,1170,1250,1250,1140,1160,1160,1150,1130,1130,1110,1140,1140,1130,1130,1140,1100,1130,1120,1110,1140,1080,1130,1100,1130,1120,1110,1130,1090,1070,1090,1110,1130,1100,1060,1130,1100,1130,1100,1120,1080,1110,1090,1140,1100,1130,1120,1130,1130,1120,1130,1140,1130,1120,1150,1120,1070,1150,1120,1100,1150,1120,1090,1120,1140,1120,1120,1090,1080,1140,1130,1100,1130,1090,1160,1130,1110,1130,1130,1150,1170,1120,1170,1150,1140,1130,1170,1180,1110,1150,1180,1090,1160,1210,1140,1110,1170,1250,1240,1230,1240,1220,1210,1250,1230,1250,1250,1250,1230,1250,1290,1210,1220,1270
1140,1160,908,1180,1120,1150,1250,851,880,871,791,919,899,854,863,872,848,918,638,871,842,915,938,821,618,942,748,0,858,868,961,1050,1060,975,1160,1220,1150,1220,1190,1180,1130,1150,1140,1160,1170,1150,1160,1150,1090,1130,1110,1170,1130,1160,1200,1230,1120,1150,1120,1130,1120,1110,1100,1120,1170,1140,1150,1140,1170,1120,1120,1120,1130,1160,1130,1130,1120,1120,1120,1140,1110,1140,1120,1170,1120,1170,1090,1150,1170,1120,1150,1130,1150,1110,1100,1170,1140,1160,1130,1140,1130,1100,1120,1150,1140,1150,1140,1120,1140,1130,1120,1140,1120,1160,1150,1110,1140,1120,1120,1110,1140,1130,1150,1120,1160,1130,1150,1150,1120,1130,1100,1170,1190,1100,1160,1140,1150,1150,1160,1170,1150,1160,1180,1090,1180,1190,1120,1130,1180,1240,1250,1240,1230,1240,1230,1240,1250,1230,1250,1240,1230,1220,1270,1190,1200,1240
1180,1180,1050,1220,1170,1160,1250,697,743,1020,752,1060,1030,751,994,756,747,1020,832,1010,813,1050,1010,995,795,1060,902,858,0,190,1010,986,1000,923,1250,1240,1170,1260,1280,1130,1160,1160,1190,1160,1190,1140,1160,1200,1100,1130,1150,1210,1150,1180,1230,1240,1180,1170,1170,1190,1180,1170,1180,1160,1200,1160,1180,1190,1180,1170,1160,1160,1160,1150,1160,1160,1150,1150,1150,1170,1170,1120,1130,1180,1150,1180,1160,1160,1160,1190,1180,1150,1180,1100,1130,1180,1150,1170,1150,1180,1190,1150,1180,1150,1200,1190,1170,1160,1170,1160,1170,1170,1140,1190,1170,1160,1150,1160,1180,1160,1140,1170,1170,1150,1200,1200,1190,1170,1150,1190,1140,1160,1220,1200,1230,1220,1180,1170,1190,1240,1210,1180,1230,1140,1160,1200,1130,1180,1190,1240,1260,1240,1240,1240,1240,1250,1230,1220,1240,1240,1210,1250,1260,1250,1250,1240
1160,1170,1020,1210,1180,1190,1240,730,792,1030,736,1050,998,801,1010,810,763,1010,820,1020,791,1040,1030,972,780,1070,890,868,190,0,1040,995,986,891,1260,1250,1210,1240,1290,1140,1150,1130,1160,1140,1180,1170,1180,1190,1100,1140,1160,1210,1140,1150,1220,1210,1160,1190,1160,1170,1160,1170,1150,1160,1200,1160,1170,1160,1210,1180,1160,1170,1170,1160,1170,1190,1160,1150,1170,1170,1190,1130,1160,1200,1160,1200,1150,1200,1170,1200,1200,1170,1210,1120,1140,1190,1160,1190,1180,1190,1200,1160,1190,1160,1200,1210,1160,1180,1170,1170,1170,1160,1140,1210,1180,1170,1160,1160,1210,1170,1160,1180,1180,1180,1180,1220,1200,1200,1150,1210,1160,1170,1240,1150,1260,1190,1200,1180,1230,1270,1240,1190,1260,1150,1200,1210,1130,1160,1180,1240,1250,1240,1240,1240,1240,1230,1240,1230,1230,1230,1220,1240,1260,1220,1250,1240
1140,1160,729,1180,1180,1170,1260,969,978,872,1010,762,742,977,888,969,975,731,927,902,939,788,725,827,879,758,1060,961,1010,1040,0,1110,1110,1070,1260,1210,1200,1280,1180,1150,1130,1130,1150,1140,1150,1150,1170,1180,1110,1120,1130,1180,1110,1160,1190,1180,1140,1130,1120,1140,1140,1140,1150,1150,1180,1140,1130,1140,1160,1180,1200,1200,1200,1200,1190,1150,1200,1220,1200,1210,1200,1210,1200,1170,1190,1200,1180,1200,1170,1200,1190,1190,1180,1190,1150,1200,1170,1190,1170,1170,1190,1170,1180,1200,1200,1190,1180,1180,1220,1200,1210,1220,1170,1220,1190,1150,1210,1210,1180,1180,1170,1200,1180,1180,1190,1190,1190,1210,1190,1150,1140,1170,1220,1160,1240,1160,1190,1200,1210,1250,1200,1130,1260,1150,1120,1200,1190,1130,1190,1260,1220,1250,1240,1240,1240,1250,1250,1230,1230,1250,1230,1260,1270,1250,1260,1220
1130,1170,1090,1240,1190,1180,1240,963,989,1060,965,1090,1080,986,1090,989,972,1100,1080,1070,977,1090,1050,1070,1060,1100,1110,1050,986,995,1110,0,464,943,1240,1240,1220,1240,1220,1170,1200,1170,1190,1190,1160,1250,1270,1170,1170,1180,1180,1210,1200,1230,1280,1280,1130,1110,1130,1130,1140,1090,1130,1130,1140,1120,1130,1150,1190,1190,1190,1200,1180,1160,1180,1170,1200,1200,1170,1190,1170,1170,1210,1180,1170,1200,1160,1220,1190,1190,1210,1200,1220,1200,1140,1220,1180,1180,1160,1180,1190,1180,1180,1190,1200,1200,1180,1170,1210,1190,1190,1190,1200,1210,1220,1200,1210,1180,1200,1170,1160,1190,1200,1180,1190,1220,1190,1210,1150,1200,1160,1180,1220,1190,1210,1180,1170,1190,1190,1230,1200,1150,1230,1120,1130,1200,1170,1170,1190,1230,1230,1230,1220,1210,1200,1210,1210,1210,1220,1240,1220,1240,1270,1240,1260,1270
1100,1140,1050,1220,1170,1190,1220,993,992,1070,963,1080,1070,963,1060,979,969,1090,1070,1030,941,1090,1030,1020,1070,1070,1060,1060,1000,986,1110,464,0,834,1250,1260,1220,1220,1240,1130,1180,1140,1170,1190,1150,1210,1210,1160,1120,1150,1120,1180,1190,1230,1260,1240,1150,1130,1140,1120,1130,1120,1140,1130,1140,1140,1100,1130,1160,1170,1160,1190,1170,1160,1170,1150,1170,1190,1170,1180,1170,1160,1190,1180,1150,1160,1170,1220,1190,1210,1220,1180,1190,1190,1140,1200,1170,1180,1170,1160,1190,1150,1150,1160,1210,1210,1190,1150,1190,1170,1160,1180,1170,1190,1200,1180,1200,1170,1200,1190,1180,1200,1220,1190,1180,1240,1190,1220,1180,1200,1140,1170,1200,1170,1200,1190,1200,1190,1190,1200,1210,1150,1250,1140,1130,1210,1190,1150,1180,1220,1210,1220,1210,1200,1180,1200,1200,1210,1210,1230,1210,1230,1260,1240,1250,1290
1150,1170,1020,1220,1210,1160,1250,952,963,1030,930,1030,1050,945,1020,918,909,1030,983,1030,934,1080,1030,1020,966,1050,1010,975,923,891,1070,943,834,0,1230,1250,1180,1250,1240,1110,1170,1180,1160,1150,1150,1180,1200,1170,1090,1140,1110,1190,1180,1200,1240,1230,1110,1140,1140,1120,1120,1120,1130,1120,1150,1140,1110,1120,1200,1210,1180,1200,1180,1190,1160,1150,1190,1190,1160,1190,1150,1150,1180,1200,1170,1200,1130,1230,1210,1210,1170,1200,1170,1170,1140,1220,1170,1170,1170,1170,1190,1160,1190,1200,1170,1180,1200,1170,1200,1200,1180,1140,1180,1210,1200,1180,1200,1180,1170,1170,1150,1150,1180,1160,1160,1200,1180,1210,1190,1190,1130,1180,1220,1150,1200,1190,1190,1180,1190,1200,1210,1180,1240,1140,1180,1170,1190,1130,1180,1250,1250,1230,1250,1250,1250,1260,1250,1250,1260,1270,1250,1250,1280,1250,1240,1290
1160,1220,1210,724,1090,1020,1220,1260,1250,1190,1250,1230,1230,1230,1250,1230,1240,1240,1250,1230,1230,1200,1210,1200,1250,1240,1180,1160,1250,1260,1260,1240,1250,1230,0,973,638,292,1000,1180,1180,1200,1190,1170,1200,1230,1240,1200,1170,1200,1200,1210,1210,1220,1240,1250,1200,1170,1190,1180,1200,1170,1210,1180,1170,1160,1180,1210,1080,1090,1110,1140,1130,1090,1120,1090,1120,1130,1060,1120,1100,1090,1050,1060,1120,1080,1130,1010,1110,1090,1040,1120,1150,1080,1070,1100,1090,1140,1140,1040,1070,1110,1130,1110,1090,1080,1070,1110,1110,1130,1110,1130,1120,1100,1080,1100,1120,1110,1070,998,998,1030,1020,1000,1040,1010,1040,1030,1000,1000,990,1010,1080,1030,1070,1030,1010,1030,1080,1080,1100,1060,1090,1050,1060,1080,1030,1080,1050,1220,1210,1200,1210,1200,1210,1200,1210,1210,1230,1200,1220,1200,1180,1170,1180,1200
1180,1230,1220,953,1110,1060,1270,1240,1260,1200,1230,1190,1210,1260,1250,1250,1240,1200,1220,1230,1240,1220,1190,1190,1230,1160,1210,1220,1240,1250,1210,1240,1260,1250,973,0,979,1010,994,1180,1210,1200,1200,1210,1230,1260,1260,1220,1180,1180,1180,1210,1170,1190,1250,1260,1170,1170,1160,1170,1180,1170,1150,1160,1190,1160,1160,1160,1110,1110,1130,1120,1130,1140,1130,1130,1130,1140,1110,1140,1140,1120,1130,1140,1130,1110,1130,1090,1130,1100,1110,1120,1170,1140,1060,1110,1120,1140,1130,1070,1110,1120,1130,1160,1070,1080,1170,1140,1150,1150,1140,1140,1140,1190,1150,1130,1160,1140,1090,1050,1070,1080,1070,1040,1050,1060,1040,1080,1040,1020,983,1050,1070,1020,1050,1050,1070,1060,1030,1030,1070,1030,1080,1090,1010,1050,1070,1060,1090,1270,1260,1280,1250,1270,1270,1250,1260,1260,1280,1280,1260,1250,1240,1200,1200,1260
1140,1200,1200,751,1060,944,1220,1180,1170,1180,1190,1200,1190,1170,1190,1150,1170,1220,1180,1200,1140,1180,1150,1170,1160,1190,1140,1150,1170,1210,1200,1220,1220,1180,638,979,0,667,1020,1150,1160,1180,1210,1190,1190,1220,1230,1180,1140,1170,1160,1180,1170,1220,1270,1270,1120,1100,1130,1120,1160,1120,1150,1130,1150,1090,1100,1160,1050,1060,1110,1120,1100,1060,1080,997,1090,1100,1060,1110,1060,1050,1070,1040,1070,1050,1110,1080,1070,1070,1030,1110,1090,1070,1020,1100,1000,1120,1120,997,1080,1060,1080,1100,1080,1080,1020,1090,1100,1110,1110,1090,1100,1110,1100,1060,1090,1110,1060,978,926,965,981,944,993,955,957,967,931,962,954,938,1040,976,1030,962,895,979,1020,1060,1050,1010,1060,968,989,1050,956,1030,1030,1210,1210,1200,1210,1190,1190,1190,1190,1210,1210,1190,1200,1210,1200,1190,1180,1200
1160,1210,1210,692,1100,1030,1230,1260,1250,1230,1250,1230,1220,1230,1250,1220,1250,1220,1240,1260,1220,1180,1230,1220,1240,1250,1200,1220,1260,1240,1280,1240,1220,1250,292,1010,667,0,1030,1190,1210,1190,1220,1200,1220,1240,1250,1220,1210,1220,1190,1230,1200,1190,1260,1260,1230,1200,1190,1200,1200,1200,1190,1200,1170,1200,1190,1220,1090,1100,1100,1130,1120,1090,1100,1050,1100,1120,1090,1120,1090,1110,1080,1070,1100,1090,1130,1030,1130,1080,1060,1120,1140,1080,1070,1110,1080,1150,1160,1040,1070,1080,1140,1110,1090,1100,1070,1100,1110,1120,1110,1140,1130,1110,1080,1070,1120,1110,1080,1030,1010,1070,1040,1030,1050,1030,1010,1030,1030,1020,1000,1030,1070,1040,1070,1040,1010,1030,1060,1070,1100,1050,1080,1030,1040,1070,1060,1070,1090,1230,1220,1220,1230,1220,1220,1200,1220,1240,1220,1210,1230,1220,1210,1190,1200,1230
1260,1230,1190,996,1150,1090,1220,1230,1240,1190,1230,1210,1210,1260,1210,1240,1240,1200,1200,1200,1260,1180,1200,1200,1170,1190,1240,1190,1280,1290,1180,1220,1240,1240,1000,994,1020,1030,0,1180,1170,1250,1190,1180,1230,1230,1240,1220,1220,1250,1240,1200,1220,1250,1260,1270,1250,1200,1230,1250,1250,1230,1230,1230,1240,1220,1240,1260,1120,1150,1140,1160,1150,1130,1150,1150,1160,1150,1120,1150,1130,1140,1150,1120,1140,1110,1130,1100,1130,1150,1120,1140,1150,1170,1090,1090,1140,1150,1140,1130,1130,1110,1160,1150,1140,1110,1110,1140,1170,1150,1150,1150,1150,1180,1170,1120,1150,1140,1120,1070,1050,1080,1080,1060,1080,1060,1080,1070,1070,1060,1060,1070,1080,1040,1080,1080,1090,1090,1080,1090,1100,1070,1100,1050,1080,1110,1100,1090,1130,1210,1220,1220,1200,1220,1220,1220,1210,1210,1220,1230,1220,1220,1220,1220,1200,1240
962,708,1140,1150,1120,1120,1200,1120,1140,1120,1130,1160,1140,1150,1090,1120,1100,1130,1150,1150,1120,1140,1070,1110,1120,1100,1170,1180,1130,1140,1150,1170,1130,1110,1180,1180,1150,1190,1180,0,772,674,762,741,695,837,848,696,823,811,810,922,953,936,989,981,915,934,920,969,918,931,946,925,965,929,927,944,1120,1120,1110,1140,1140,1080,1110,1130,1120,1140,1160,1130,1170,1120,1140,1130,1120,1100,1180,1120,1100,1140,1130,1110,1170,1110,1130,1090,1160,1170,1140,1120,1140,1140,1100,1130,1130,1140,1150,1100,1140,1120,1120,1150,1130,1130,1150,1160,1140,1120,1120,1100,1060,1100,1120,1060,1100,1120,1120,1120,1110,1110,1090,1070,1120,1100,1150,1150,1140,1100,1130,1140,1080,1100,1130,1090,1100,1100,1140,1100,1150,1180,1180,1180,1160,1180,1180,1170,1180,1200,1190,1180,1180,1160,1200,1160,1190,1210
911,651,1130,1180,1150,1200,1270,1090,1110,1170,1120,1140,1140,1110,1120,1100,1130,1150,1150,1130,1080,1150,1120,1130,1130,1130,1140,1130,1160,1150,1130,1200,1180,1170,1180,1210,1160,1210,1170,772,0,706,398,248,709,799,805,703,780,781,796,889,921,866,972,980,881,927,912,903,891,955,893,911,911,911,902,895,1210,1150,1210,1220,1210,1190,1210,1230,1220,1210,1200,1220,1240,1230,1240,1230,1230,1210,1240,1200,1180,1160,1210,1230,1230,1200,1180,1200,1240,1230,1210,1150,1190,1230,1180,1180,1170,1210,1210,1200,1210,1220,1220,1220,1210,1220,1210,1250,1220,1210,1190,1170,1160,1200,1190,1150,1170,1170,1220,1170,1150,1170,1160,1220,1220,1150,1240,1180,1180,1180,1200,1210,1210,1180,1210,1200,1180,1200,1160,1200,1160,1250,1280,1270,1260,1250,1250,1250,1250,1250,1280,1260,1250,1220,1270,1260,1240,1260
925,535,1110,1170,1130,1180,1260,1100,1130,1120,1100,1120,1120,1100,1120,1090,1080,1140,1110,1120,1110,1150,1080,1130,1120,1100,1160,1150,1160,1130,1130,1170,1140,1180,1200,1200,1180,1190,1250,674,706,0,692,676,551,840,859,564,771,758,709,868,896,828,954,960,900,954,937,913,912,957,913,938,972,914,899,928,1170,1130,1170,1200,1200,1150,1190,1180,1180,1200,1190,1180,1220,1210,1190,1190,1190,1180,1220,1180,1140,1130,1180,1200,1220,1170,1130,1190,1180,1210,1200,1170,1180,1160,1160,1190,1180,1180,1190,1180,1180,1200,1180,1200,1190,1170,1190,1170,1180,1160,1190,1170,1120,1180,1200,1130,1190,1200,1210,1180,1150,1210,1170,1170,1190,1160,1220,1200,1160,1220,1180,1190,1130,1180,1170,1150,1190,1160,1180,1190,1220,1260,1250,1250,1250,1240,1240,1250,1240,1270,1270,1250,1240,1240,1290,1260,1260,1260
959,638,1150,1200,1150,1210,1260,1140,1130,1140,1130,1180,1190,1120,1130,1130,1150,1170,1170,1140,1130,1180,1160,1140,1150,1150,1150,1140,1190,1160,1150,1190,1170,1160,1190,1200,1210,1220,1190,762,398,692,0,372,657,849,840,674,796,796,810,896,942,842,931,945,927,990,950,925,912,972,939,929,972,934,929,934,1180,1150,1210,1220,1210,1180,1210,1190,1200,1220,1200,1210,1210,1220,1210,1230,1220,1200,1200,1230,1180,1150,1220,1220,1200,1220,1180,1170,1220,1240,1210,1150,1180,1180,1200,1220,1190,1220,1220,1200,1230,1230,1210,1220,1240,1230,1190,1220,1240,1210,1200,1180,1160,1190,1190,1150,1190,1190,1200,1180,1160,1200,1190,1190,1220,1140,1230,1210,1180,1200,1210,1230,1200,1180,1200,1190,1180,1200,1190,1200,1200,1240,1250,1250,1230,1260,1260,1250,1240,1260,1270,1250,1240,1230,1270,1220,1240,1250
929,625,1140,1190,1140,1210,1260,1090,1130,1170,1110,1160,1160,1110,1150,1120,1110,1170,1190,1160,1100,1170,1110,1140,1160,1140,1160,1160,1160,1140,1140,1190,1190,1150,1170,1210,1190,1200,1180,741,248,676,372,0,652,793,779,664,770,779,805,879,920,812,982,978,903,958,907,918,913,970,931,894,948,951,922,943,1190,1140,1180,1210,1210,1190,1210,1230,1200,1190,1180,1190,1240,1210,1220,1220,1210,1210,1240,1190,1180,1140,1220,1210,1210,1170,1160,1200,1220,1210,1200,1170,1180,1210,1190,1190,1160,1210,1210,1200,1200,1210,1190,1200,1200,1210,1200,1220,1200,1190,1180,1160,1140,1180,1170,1140,1180,1180,1210,1160,1160,1190,1170,1190,1180,1170,1200,1200,1170,1180,1190,1200,1170,1170,1190,1190,1180,1160,1190,1200,1190,1240,1250,1260,1240,1240,1240,1220,1230,1230,1250,1240,1230,1210,1250,1230,1220,1260
